Unicode Code,Glyph,Type,Case,Transformations,Base,Additions
U+2C7F,Ɀ,Letter,Capital,None,Z,Swash Tail,Z
U+A726,Ꜧ,Letter,Capital,None,HENG,H
U+A727,ꜧ,Letter,Small,None,HENG,h
U+A728,Ꜩ,Letter,Capital,None,TZ,T
U+A729,ꜩ,Letter,Small,None,TZ,t
U+A72A,Ꜫ,Letter,Capital,None,TRESILLO,T
U+A72B,ꜫ,Letter,Small,None,TRESILLO,t
U+A72C,Ꜭ,Letter,Capital,None,CUATRILLO,C
U+A72D,ꜭ,Letter,Small,None,CUATRILLO,c
U+A72E,Ꜯ,Letter,Capital,None,CUATRILLO,COMMA,C
U+A72F,ꜯ,Letter,Small,None,CUATRILLO,COMMA,c
U+A730,ꜰ,Letter,SmallCap,None,F,F
U+A731,ꜱ,Letter,SmallCap,None,S,S
U+A732,Ꜳ,Letter,Capital,None,AA,A
U+A733,ꜳ,Letter,Small,None,AA,a
U+AB30,ꬰ,Letter,Small,None,BARRED ALPHA,α
U+AB31,ꬱ,Letter,Small,None,A REVERSED-SCHWA,ɐ
U+AB32,ꬲ,Letter,Small,None,BLACKLETTER E,𝔢
U+AB33,ꬳ,Letter,Small,None,BARRED E,ɛ
U+AB34,ꬴ,Letter,Small,None,E,FLOURISH,e
U+AB35,ꬵ,Letter,Small,None,LENIS F,f
U+AB36,ꬶ,Letter,Small,None,SCRIPT G,CROSSED-TAIL,g
U+AB37,ꬷ,Letter,Small,None,L,INVERTED LAZY S,l
U+AB38,ꬸ,Letter,Small,None,L,DOUBLE MIDDLE TILDE,l
U+AB39,ꬹ,Letter,Small,None,L,MIDDLE RING,l
U+AB3A,ꬺ,Letter,Small,None,M,CROSSED-TAIL,m
U+AB3B,ꬻ,Letter,Small,None,N,CROSSED-TAIL,n
U+AB3C,ꬼ,Letter,Small,None,ENG,CROSSED-TAIL,ŋ
U+AB3D,ꬽ,Letter,Small,None,BLACKLETTER O,𝔬
U+AB3E,ꬾ,Letter,Small,None,BLACKLETTER O,STROKE,𝔬
U+AB3F,ꬿ,Letter,Small,None,OPEN O,STROKE,ɔ
U+AB40,ꭀ,Letter,Small,None,INVERTED OE,œ
U+AB41,ꭁ,Letter,Small,Turned,OE,STROKE,œ
U+AB42,ꭂ,Letter,Small,Turned,OE,HORIZONTAL STROKE,œ
U+AB43,ꭃ,Letter,Small,Turned,O OPEN-O,ɔ
U+AB44,ꭄ,Letter,Small,Turned,O OPEN-O,STROKE,ɔ
U+AB45,ꭅ,Letter,Small,None,STIRRUP R,r
U+AB46,ꭆ,Letter,SmallCap,None,R,RIGHT LEG,ʀ
U+AB47,ꭇ,Letter,Small,None,R WITHOUT HANDLE,r
U+AB48,ꭈ,Letter,Small,None,DOUBLE R,r
U+AB49,ꭉ,Letter,Small,None,R,CROSSED-TAIL,r
U+AB4A,ꭊ,Letter,Small,None,DOUBLE R,CROSSED-TAIL,r
U+AB4B,ꭋ,Letter,Small,None,SCRIPT R,r
U+AB4C,ꭌ,Letter,Small,None,SCRIPT R,RING,r
U+AB4D,ꭍ,Letter,Small,None,BASELINE ESH,ʃ
U+AB4E,ꭎ,Letter,Small,None,U,SHORT RIGHT LEG,u
U+AB4F,ꭏ,Letter,Small,None,U BAR,SHORT RIGHT LEG,u
U+AB50,ꭐ,Letter,Small,None,UI,ui
U+AB51,ꭑ,Letter,Small,Turned,UI,ui
U+AB52,ꭒ,Letter,Small,None,U,LEFT HOOK,u
U+AB53,ꭓ,Letter,Small,None,CHI,χ
U+A734,Ꜵ,Letter,Capital,None,AO,A
U+A735,ꜵ,Letter,Small,None,AO,a
U+A736,Ꜷ,Letter,Capital,None,AU,A
U+A737,ꜷ,Letter,Small,None,AU,a
U+A738,Ꜹ,Letter,Capital,None,AV,A
U+A739,ꜹ,Letter,Small,None,AV,a
U+A73A,Ꜻ,Letter,Capital,None,AV,HORIZONTAL BAR,A
U+A73B,ꜻ,Letter,Small,None,AV,HORIZONTAL BAR,a
U+A73C,Ꜽ,Letter,Capital,None,AY,A
U+A73D,ꜽ,Letter,Small,None,AY,a
U+A73E,Ꜿ,Letter,Capital,None,REVERSED C,DOT,C
U+A73F,ꜿ,Letter,Small,None,REVERSED C,DOT,c
U+A740,Ꝁ,Letter,Capital,None,K,STROKE,K
U+A741,ꝁ,Letter,Small,None,K,STROKE,k
U+A742,Ꝃ,Letter,Capital,None,K,DIAGONAL STROKE,K
U+A743,ꝃ,Letter,Small,None,K,DIAGONAL STROKE,k
U+A744,Ꝅ,Letter,Capital,None,K,STROKE AND DIAGONAL STROKE,K
U+A745,ꝅ,Letter,Small,None,K,STROKE AND DIAGONAL STROKE,k
U+A746,Ꝇ,Letter,Capital,None,BROKEN L,L
U+A747,ꝇ,Letter,Small,None,BROKEN L,l
U+A748,Ꝉ,Letter,Capital,None,L,HIGH STROKE,L
U+A749,ꝉ,Letter,Small,None,L,HIGH STROKE,l
U+A74A,Ꝋ,Letter,Capital,None,O,LONG STROKE OVERLAY,O
U+A74B,ꝋ,Letter,Small,None,O,LONG STROKE OVERLAY,o
U+A74C,Ꝍ,Letter,Capital,None,O,LOOP,O
U+A74D,ꝍ,Letter,Small,None,O,LOOP,o
U+A74E,Ꝏ,Letter,Capital,None,OO,O
U+A74F,ꝏ,Letter,Small,None,OO,o
U+A750,Ꝑ,Letter,Capital,None,P,STROKE THROUGH DESCENDER,P
U+A751,ꝑ,Letter,Small,None,P,STROKE THROUGH DESCENDER,p
U+A752,Ꝓ,Letter,Capital,None,P,FLOURISH,P
U+A753,ꝓ,Letter,Small,None,P,FLOURISH,p
U+A754,Ꝕ,Letter,Capital,None,P,SQUIRREL TAIL,P
U+A755,ꝕ,Letter,Small,None,P,SQUIRREL TAIL,p
U+A756,Ꝗ,Letter,Capital,None,Q,STROKE THROUGH DESCENDER,Q
U+A757,ꝗ,Letter,Small,None,Q,STROKE THROUGH DESCENDER,q
U+A758,Ꝙ,Letter,Capital,None,Q,DIAGONAL STROKE,Q
U+A759,ꝙ,Letter,Small,None,Q,DIAGONAL STROKE,q
U+A75A,Ꝛ,Letter,Capital,None,R ROTUNDA,R
U+A75B,ꝛ,Letter,Small,None,R ROTUNDA,r
U+A75C,Ꝝ,Letter,Capital,None,RUM ROTUNDA,R
U+A75D,ꝝ,Letter,Small,None,RUM ROTUNDA,r
U+A75E,Ꝟ,Letter,Capital,None,V,DIAGONAL STROKE,V
U+A75F,ꝟ,Letter,Small,None,V,DIAGONAL STROKE,v



